iteration,best_fitness,mean_fitness,diversity
1,0.59209,0.7249079999999999,0.24029728964323505
2,0.45956,0.612541,0.255567
3,0.40703,0.575601,0.219282
4,0.40703,0.551009,0.217309
5,0.33219,0.459561,0.205612
6,0.33219,0.439737,0.2001
7,0.25503,0.35756,0.195211
8,0.2482,0.348729,0.171497
9,0.16356,0.317491,0.165353
10,0.16356,0.274981,0.16595
11,0.10462,0.190437,0.150931
12,0.06769,0.16946,0.138456
13,0.01094,0.136165,0.133378
14,0.01094,0.12083,0.131628
15,0.01094,0.077463,0.112588
16,0.00514,0.064818,0.099645
17,0.00514,0.048626,0.09325
18,0.00514,0.033575,0.081036
19,0.00514,0.030773,0.074329
20,0.00514,0.029261,0.066461
21,0.00231,0.029338,0.060207
22,0.0,0.017374,0.067312
23,0.0,0.010783,0.058353
24,0.0,0.006922,0.051495
25,0.0,0.005374,0.047965
26,0.0,0.003758,0.043174
27,0.0,0.001682,0.041329
28,0.0,0.002962,0.038751
29,0.0,0.000531,0.036715
30,0.0,0.001917,0.034302
31,0.0,0.000124,0.031272
